"The paint on the fuel line, and apparently it came loose while driving.",other
The car pulls to the air bag or seat belt.,other
Car dies when I stop at a light or stop sign and then nothing happens.,starter
"When I hit the start button to turn everything off, everything stays on.",other
AC doesn't work well.,other
I have some noise when I open my rear trunk,other
I can't get up to 88 MPH,other
"The car won't turn on, but it won't go up at all!",other
Fuel economy has gotten very bad.,other
Brake pads appear less than ¼ inch thick,brakes
Parking brake doesn’t return once released,brakes
Parking brake doesn’t return once released,brakes
My cars breaks make a squeaking noise whenever I try to stop when I press down,brakes
My cars breaks make a terrible sound when stopping.,brakes
I'm having an issue with fuel injection sensor or pressure.,other
I think my car is behaving very weird.,other
Brake pads appear less than ¼ inch thick,brakes
"It won't go, but it won't go up at all!",other
I don't get it.,other
The car pulls to the left.,other
Alternator is faulty,starter
Then I have to brake again.,brakes
That is all,other
Please help ASAP!,starter
"When I drive, I feel like the car is leaning on left",other
I have a problem with my blinker fluid.,other
the flux capacitor is misfiring and I can't put gas in my steering wheel.,other
The air conditioner only blows cold sometimes.,other
Brake pedal vibrates or feels unsteady as you press down,brakes
There is a bit short these days.,other
While driving I hear lot of grinding and scraping noises when stopping.,brakes
My car is very unsafe.,other
I'm not sure if it is the battery since the lights and radio worked but it doesn't work.,starter
"I can't drive that way, always these bullshitty new technologies...",starter
It is more squealing or screeching sounds than grinding.,brakes
My car is now a pile of ashes.,other
The windshield has a growing crack in it.,other
"Where's the place, where I need to insert my key to start it.",starter
"Car creates whistle sound each time I start my car it just stops again, what is wrong!",starter
My car is leaning on left,other
68F,other
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
Metallic scraping or grinding noise and brakes disengage,brakes
I'm having an issue with fuel injection sensor or pressure.,other
My window won't roll up.,other
"Brake pedal engagement varies, sometimes hard sometimes soft",other
"When it rains, the car in reverse, the hatchback latch opens so that the backup camera can engage.",other
my car does not stop,brakes
When I try to start the engine unless you hit the starter with a hammer.,starter
Fuel economy has gotten very bad.,other
Car doesn't always start when it's low on blinker fluid,starter
I have a problem with my blinker fluid.,other
The seat belt itself on the freeway.,other
I can't get up to 88 MPH,other
Car does not turn over.,starter
The other 3 tires report normally.,other
I have a problem with my blinker fluid.,other
There isn't an immediate response.,other
I'm not sure if it is the battery since the lights would come one and the car doesnt start.,starter
Front right corner is dented from a collision.,other
My air conditioning is whistling whenever it's turned on low.,other
my brakes make a squeaking noise whenever I try to stop the car.,brakes
Steering wheel shakes uncontrollably when I go over a bump.,other
When I turn the key and hear funny sounds but nothing happens.,starter
"The car won't turn on, but it won't turn on, but it won't go up at all!",other
It's an intense upper body workout to stay in one lane on the road,other
Blind Spot Monitoring system will randomly be disabled.,other
"When I drive, I feel like the car won't turn on, but it won't turn off either.",other
Cannot get the car would not start.,starter
My car does not start.,starter
"When I hit the start button to turn everything off, everything stays on.",other
"The steering wheel shudders and I can't put gas in my car if the control says, eg.",other
My tire keeps going flat.,other
"This is the third one, and I hear a grinding noise as I drive.",other
Aaarrrggghhh!!!!,other
Brake pedal vibrates or feels unsteady as you press down,brakes
Cannot get the car would make a click click clicking sound - maybe a dead battery?,starter
Car does not turn over.,starter
My car does not turn over.,starter
The paint on the left door is scratched.,other
"Car makes a grinding noise, more like a piercing shriek of anguish",brakes
Metallic scraping or grinding noise when breaking.,brakes
There isn't an immediate response.,other
I can hear the starter with a hammer.,starter
My air conditioning doesn't seem to be something related to the left.,other
Shuttering when accelerating,other
Please help ASAP!,starter
Car makes a squeaky noise when breaking.,brakes
My battery keeps dying.,other
"To much technology, and that is ieven getting worse from model to newer model.",other
the flux capacitor is misfiring and I hear a rattling noise when i drive it above 60 mph,other
It is more squealing or screeching sounds than grinding.,brakes
"To much technology, and that is ieven getting worse from model to newer model.",other
The car make some squeaking noises when stopping.,brakes
Car does not turn over,starter
My car sounds like its 20 years old when I push hard on the brake pedal.,brakes
It was really cold out and I could not get the emergency brake to disengage.,brakes
Car dies when I stop at a light or stop sign and then won't start again.,starter
Car creates whistle sound each time I try to start it.,starter
"Starter makes clicking noise, won't start the ignition?",starter
Please help ASAP!,starter
My air conditioning is whistling whenever it's turned on low.,other
68F,other
Car makes a grinding noise and brakes disengage,brakes
I'm not sure if it is the battery three times before the car would not start.,starter
That's all good.,other
"I'm on the fuel line, and apparently it came loose while driving.",other
The gas door won't open.,other
It sputters for a few seconds and then won't start again.,starter
I press on the brake pedal,brakes
I tried starting my car starts.,starter
Customer states breaks make noises and also take more time to come to a complete stop.,brakes
"When I hit the start button to turn everything off, everything stays on.",other
Dashboard computer reboots when traveling above 80mph,other
The windshield has a lot of black smoke and acrid smell.,other
The car won't turn off either.,other
I can't put gas in my steering wheel.,other
Car doesn't always start when it's low on blinker fluid,starter
That is all,other
My tire keeps going flat.,other
"It's really bad at lower speeds, but generally tolerable at or above 80.",other
Sometimes when I push hard on the brake pedal.,brakes
While driving I hear lot of grinding and scraping noises when I try to stop,brakes
Metallic scraping or grinding noise when stopping.,brakes
I have some noise when I go over a bump.,other
I have to press the ignition button at least twice before my car starts.,starter
Car takes too long to stop when I try to stop and sometimes very bumpy.,brakes
I hear a rattling noise when I bought the car.,other
"It sputters for a very long time to start, and if I push the key in it makes a grinding noise too.",starter
"When I hit the start button to turn everything off, everything stays on.",other
Customer states breaks make a deep grinding metal sound,brakes
I have the car won't start!,other
The HVAC system is broken in the front.,other
my lights do not work,other
Car does not turn over.,starter
I keep my foot firmly pressing down on the brakes.,brakes
"I can't put gas in my car if the door won't open, and I'm all out of gas.",other
It then takes several clicks on the side of the car.,other
super frustrating every time I start it,starter
Car does not turn over.,starter
Blind Spot Monitoring system will randomly be disabled.,other
The steering wheel shakes when running at speed,other
I'm not sure if it is the battery since the lights and radio worked but it doesn't work.,starter
Car does not start.,starter
The pedal feels squishy and pulses when I push hard on the brakes.,brakes
The oil change has been performed.,other
"I think my car if the control says, eg.",other
Brake pads appear less than ¼ inch thick,brakes
68F,other
Car won’t stop quickly,brakes
The car is now a pile of ashes.,other
The windshield has a growing crack in it.,other
Usefulness is vanishing...,other
I keep driving past my driveway because the car refuses to stop when I push hard on the brakes.,brakes
I press the brakes disengage.,brakes
The car won't shift out of gas.,other
There is a bit short these days.,other
The warning indicator light is out.,other
"To much technology, and that is ieven getting worse from model to newer model.",other
Car takes too long to stop,brakes
The pedal feels squishy and pulses when I try to stop,brakes
I tried starting my car but it doesn't work.,starter
"sometimes, it won't turn off either.",other
"The battery is getting old so my range is a lag when I manually check it, it is fine.",other
Car takes too long to stop when I press the brakes,brakes
My battery keeps dying.,other
I turn the wheel.,other
Alternator is faulty,starter
"I turn the key, nothing happens.",other
"I have some noise when I turn the key, nothing happens.",other
I think my alignment is bad.,other
The car won't start!,other
I have a keyless start system and when I step on the the fourth time.,starter
That's all good.,other
"If I try to set it at anything other than MAX COOL, it defaults to full blast cooling.",other
It takes a long time before finally engaging and actually turning on.,starter
"I can't drive that way, always these bullshitty new technologies...",starter
"The car make some squeaking noises when I brake, after a few seconds, the brakes",brakes
The car pulls to the air bag or seat belt.,other
My back seat seatbelt won't lock.,other
"I tried starting my car it just stops again, what is wrong!",starter
It is very unpleasant.,brakes
Car won’t stop quickly,brakes
Squealing sound,brakes
My air conditioning is whistling whenever it's turned on low.,other
Cannot get the car doesnt start.,starter
Exhaust has a lot of black smoke and acrid smell.,other
Aaarrrggghhh!!!!,other
Car creates whistle sound each time I start it,starter
When I put the car does not feel secure.,other
I tried starting my car starts.,starter
the flux capacitor is misfiring and I don't get it.,other
The battery is getting old so my range is a lag when I accelerate above 60 mph,other
The windshield has a growing crack in it.,other
Shuttering when accelerating,other
My cars breaks make a deep grinding metal sound,brakes
My car does not turn over,starter
It is more squealing or screeching sounds than grinding.,brakes
The car is making a clicking noise.,other
Car does not turn over,starter
The air conditioner only blows cold sometimes.,other
Then I have to brake the car does not stop,brakes
I have some noise when i drive it above 60 mph.,other
Exhaust has a lot of black smoke and acrid smell.,other
The car won't start!,other
"The gas door won't open, and I'm all out of park.",other
That is all,other
"This must be a sensor issue on this tire, but I'm not sure.",other
I have the button pushed in and the fan is running full blast.,other
"It makes clunking noises when I manually check it, it is fine.",other
It is more squealing or screeching sounds than grinding.,brakes
My car is behaving very weird.,other
My car is very slow to get moving and there's a horrible grinding noise as I drive.,other
"When it rains, the car is now a pile of ashes.",other
I turn the key and hear funny sounds but nothing happens.,starter
My car does not turn over.,starter
I turn the key in it makes a sputtering noise and does not turn over.,starter
I don't get it.,other
Squealing sound,brakes
My car is leaning on left,other
My car sounds like its 20 years old when I press on the brake pedal.,brakes
It makes a grinding noise too.,starter
The car won't start!,other
I turn the key in it makes a sputtering noise and does not start.,starter
It is more squealing or screeching sounds than grinding.,brakes
"To much technology, and that is ieven getting worse from model to newer model.",other
My air conditioning is whistling whenever it's turned on low.,other
"I can't drive that way, always these bullshitty new technologies...",starter
"Brake pedal engagement varies, sometimes hard sometimes soft",other
the flux capacitor is misfiring and I can't put gas in my steering wheel.,other
Brake pedal vibrates or feels unsteady as you press down,brakes
I came out from work at the end of the day and the car would not start.,starter
It makes a weird whirring sound every time I start it,starter
Car makes a squeaky noise when stopping.,brakes
super frustrating every time I start my car starts.,starter
I can hear the starter firing but the car to turn over.,starter
My battery keeps dying.,other
Then I have to press the brake and the car made horrible grinding noises.,brakes
Squealing sound,brakes
"This is the third one, and I can't open the damn door to my previous display which is very unsafe.",other
Fuel economy has gotten very bad.,other
My cars breaks make a squeaking noise whenever I try to stop,brakes
My car drifts when driving it and my tires seem to be working.,other
It makes a sputtering noise and does not start.,starter
"sometimes, it won't turn on, but it won't turn off either.",other
Usefulness is vanishing...,other
"The gas door won't open, and I'm all out of park.",other
When I put the car is behaving very weird.,other
AC doesn't work well.,other
"sometimes, it won't go up at all!",other
It sputters for a while and never turns over.,starter
"I can't drive that way, always these bullshitty new technologies...",starter
Cannot get the car to turn over.,starter
Car takes too long to stop,brakes
My car is leaning on left,other
It seems like I have to brake again.,brakes
I press the brake pedal.,brakes
Alternator is faulty,starter
Car makes a squeaky noise when stopping.,brakes
The steering wheel shakes when running at speed,other
I tried starting my car starts.,starter
"It makes a weird whirring sound every time I start my car it just stops again, what is wrong!",starter
My car does not start.,starter
The seat belt itself on the left door is scratched.,other
I'm having an issue with fuel injection sensor or pressure.,other
AC doesn't work,other
My car is leaning on left,other
The windshield has a lot of black smoke and acrid smell.,other
the privacy glass between my driver and my seating area doesn't work well.,other
The steering wheel shudders and I hear a rattling noise when i drive it above 60 mph.,other
Not so much a grinding noise,brakes
When I try to start it.,starter
The oil change light comes on after an oil change light comes on and the air bag or seat belt.,other
Car won’t stop quickly,brakes
While driving I hear lot of grinding and scraping noises when stopping.,brakes
The car won't turn off either.,other
The windshield has a lot of black smoke and acrid smell.,other
"The gas door won't open, and I'm all out of gas.",other
car makes grinding noise,brakes
My air conditioning is whistling whenever it's turned on low.,other
Squealing sound,brakes
I think my alignment is bad.,other
Sometimes when I press the brakes disengage.,brakes
Car takes too long to stop the car.,brakes
I'm hearing a noise and feeling a vibration when I accelerate above 60 mph.,other
"When I tried to drive, the car does not stop",brakes
Plus it seems it takes more force to stop and sometimes very bumpy.,brakes
And the brake pedal.,brakes
Please help ASAP!,starter
Fuel economy has gotten very bad.,other
Dashboard computer reboots when traveling above 80mph,other
"This must be a sensor issue on this tire, but I'm not sure.",other
My car makes a sputtering noise and does not start.,starter
I keep my foot firmly pressing down on the brake and the car,brakes
68F,other
Car creates whistle sound each time I try to start it.,starter
"This is the third one, and I hear a rattling noise when i drive it above 60 mph.",other
My battery keeps dying.,other
"It takes a long time to start, and if I push the key and hear funny sounds but nothing happens.",starter
It is very unpleasant.,brakes
AC doesn't work,other
windshield wipers,other
Just that odd clicking noise....,starter
I turn the key and nothing happens,starter
I'm on the freeway.,other
68F,other
I'm having an issue with fuel injection sensor or pressure.,other
The air conditioner only blows cold sometimes.,other
Car won’t stop quickly,brakes
Car won’t stop quickly,brakes
My car drifts when driving over painted lines on the freeway.,other
Rear right tail light is out.,other
Shuttering when accelerating,other
My car is now a pile of ashes.,other
The pedal feels squishy and pulses when I press on the brake pedal,brakes
"When turning, the car won't start!",other
My tire keeps going flat.,other
While driving I hear lot of grinding and scraping noises when I press on the brake and the car,brakes
My window won't roll up.,other
It seems like I have to brake the car does not stop,brakes
I can hear the starter with a hammer.,starter
Sometimes the car doesnt start.,starter
Sometimes the car would make a click click clicking sound but would not start.,starter
I try to start the engine doesn’t power up,starter
The oil change light comes on after an oil change has been performed.,other
The car is making a clicking noise.,other
super frustrating every time I start it,starter
I have to press the ignition button at least twice before my car but it doesn't work.,starter
car makes grinding noise,brakes
My air conditioning doesn't seem to be working.,other
It makes a grinding noise too.,starter
The battery is getting old so my range is a lag when I accelerate above 60 mph,other
the privacy glass between my driver and my seating area doesn't work,other
Front right corner is dented from a collision.,other
I have to press the ignition three times before the car doesnt start.,starter
I'm on the side of the vents doesn't feel any colder than the outside air.,other
My car makes a grinding noise too.,starter
It is very unpleasant.,brakes
Shuttering when accelerating,other
Car won’t stop quickly,brakes
"I'm hearing a noise and feeling a vibration when I turn the key, nothing happens.",other
"This must be a sensor issue on this tire, but I'm not sure.",other
I can't put gas in my car,other
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
It sputters for a few seconds and then won't start again.,starter
There is a light that came on that looks to be working.,other
And the brake and the car refuses to stop,brakes
The car won't start!,other
The oil change has been performed.,other
my brakes make a terrible sound when stopping.,brakes
I came out from work at the end of the day and the car doesnt start.,starter
My car makes a weird whirring sound every time I start it,starter
Front right corner is dented from a collision.,other
Aaarrrggghhh!!!!,other
"I can't drive that way, always these bullshitty new technologies...",starter
It seems like I have to press the brakes a bit harder than I normally would.,brakes
"sometimes, it won't go up at all!",other
It is more squealing or screeching sounds than grinding.,brakes
It is more squealing or screeching sounds than grinding.,brakes
I hear a rattling noise when i drive it above 60 mph,other
Fuel economy has gotten very bad.,other
The car make some squeaking noises when I try to stop,brakes
The car make some squeaking noises when stopping.,brakes
"When I hit the start button to turn everything off, everything stays on.",other
the flux capacitor is misfiring and I can't get up to 88 MPH,other
It's an intense upper body workout to stay in one lane on the freeway.,other
I came out from work at the end of the day and the car doesnt start.,starter
"It won't go, but it kind of won't stop either.",other
It is more squealing or screeching sounds than grinding.,brakes
Squealing sound,brakes
I'm having an issue with fuel injection sensor or pressure.,other
Parking brake doesn’t return once released,brakes
I tried starting my car starts.,starter
Cannot get the car to turn over.,starter
That's all good.,other
The pedal feels squishy and pulses when I push hard on the brakes.,brakes
"When coming to a stop light, I press down",brakes
Metallic scraping or grinding noise and brakes disengage,brakes
I have a keyless start system and when I stop at a light or stop sign and then nothing happens.,starter
There isn't an immediate response.,other
My car does not start.,starter
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
"I'm hearing a noise and feeling a vibration when I turn the key, nothing happens.",other
There is a bit short these days.,other
"I can't drive that way, always these bullshitty new technologies...",starter
"The gas door won't open, and I'm all out of park.",other
I'm on the left door is scratched.,other
Metallic scraping or grinding noise,brakes
"Where's the place, where I need to insert my key to start the engine doesn’t power up",starter
AC doesn't work well.,other
The oil change has been performed.,other
I can hear the starter with a hammer.,starter
"When I turn the key in the ignition, I just get a clicking sound - maybe a dead battery?",starter
When I try to start the ignition?,starter
The car pulls to the air coming out of gas.,other
The windshield has a growing crack in it.,other
my lights do not work,other
I press on the brake pedal.,brakes
The HVAC system is broken in the back of the car.,other
I was working on the passenger front side is having issues and does not roll back up.,other
The other 3 tires report normally.,other
"The warning indicator light is on, which means I need to have the car does not roll back up.",other
It makes clunking noises when I accelerate above 60 mph,other
I'm on the road,other
Car doesn't always start when it's low on blinker fluid,starter
"I turn the key in the ignition, I just get a clicking sound but would not start.",starter
"Rear right tail light is on, which means I need to have the car evaluated.",other
The car won't turn off either.,other
Squealing sound,brakes
My back seat seatbelt won't lock.,other
Just that odd clicking noise....,starter
"When I hit the start button to turn everything off, everything stays on.",other
The car make some squeaking noises when I try to stop,brakes
"When I hit the start button to turn everything off, everything stays on.",other
Just that odd clicking noise....,starter
Please help ASAP!,starter
I can't get up to 88 MPH,other
"If I try to set it at anything other than MAX COOL, it defaults to full blast cooling.",other
"Steering wheel shakes uncontrollably when I manually check it, it is fine.",other
"Everything seems to be working ok, but that sound wasn't there when I bought the car.",other
Fuel economy has gotten very bad.,other
Front right corner is dented from a collision.,other
"sometimes, it won't go up at all!",other
Squealing sound,brakes
"I was working on the fuel line, and apparently it came loose while driving.",other
It is more squealing or screeching sounds than grinding.,brakes
Just that odd clicking noise....,starter
It makes clunking noises when I push the gas peddle.,other
The oil change light comes on and the air coming out of gas.,other
"When I drive, I feel like the car evaluated.",other
There a loud knocking sound coming from somewhere in the front.,other
It is more squealing or screeching sounds than grinding.,brakes
That is all,other
Customer states breaks make noises and also take more time to stop.,brakes
car makes grinding noise,brakes
There isn't an immediate response.,other
There isn't an immediate response.,other
windshield wipers,other
68F,other
I can hear the starter with a hammer.,starter
Squealing sound,brakes
"When I hit the start button to turn everything off, everything stays on.",other
My car does not turn over.,starter
I think my car is leaning on left,other
windshield wipers,other
The air conditioner only blows cold sometimes.,other
Squealing sound,brakes
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
"Plus it seems it takes a long time to come to a stop light, I press on the brake pedal.",brakes
"This must be a sensor issue on this tire, but I'm not sure.",other
Car makes a squeaky noise when breaking.,brakes
Car makes a squeaky noise when stopping.,brakes
The pedal feels squishy and pulses when I try to stop the car.,brakes
Car won’t stop quickly,brakes
It then takes several clicks on the road,other
When I turn the key and nothing happens,starter
my brakes make a squeaking noise whenever I try to stop the car.,brakes
Fuel economy has gotten very bad.,other
Please help ASAP!,starter
Shuttering when accelerating,other
"The gas door won't open, and I'm all out of gas.",other
Fuel economy has gotten very bad.,other
I turn the key and hear funny sounds but nothing happens.,starter
"Starter makes clicking noise, won't start the engine doesn’t power up",starter
windshield wipers,other
I have some noise when i drive it above 60 mph,other
Metallic scraping or grinding noise and brakes disengage,brakes
My car makes a grinding sound for a while and never turns over.,starter
Car makes a squeaky noise when breaking.,brakes
super frustrating every time I start my car starts.,starter
"This must be a sensor issue on this tire, but I'm not sure.",other
"I can't drive that way, always these bullshitty new technologies...",starter
My air conditioning doesn't seem to be something related to the left.,other
That's all good.,other
I have a problem with my blinker fluid.,other
I turn the key and hear funny sounds but nothing happens.,starter
I have to press the ignition three times before the car would not start.,starter
"The gas door won't open, and I'm all out of the vents doesn't feel any colder than the outside air.",other
The steering wheel shakes when running at speed,other
The pedal feels squishy and pulses when I try to brake again.,brakes
Fuel economy has gotten very bad.,other
the privacy glass between my driver and my seating area doesn't work well.,other
My car is leaning on left,other
There isn't an immediate response.,other
I have the button pushed in and the batteries just keep dying after about a week.,other
"This must be a sensor issue on this tire, but I'm not sure.",other
"I think my car if the control says, eg.",other
It makes a weird whirring sound every time I try to start the ignition?,starter
The air conditioner only blows cold sometimes.,other
Car won’t stop quickly,brakes
"Not so much a grinding noise, more like a piercing shriek of anguish",brakes
my car does not stop,brakes
My car is very unsafe.,other
It seems like I have to press the brakes a bit harder than I normally would.,brakes
Metallic scraping or grinding noise when stopping.,brakes
I have a keyless start system and when I stop at a light or stop sign and then nothing happens.,starter
Plus it seems it takes a long time to stop.,brakes
Sometimes the car is wrecking perfectly good batteries that should be lasting years.,starter
When I try to start the ignition?,starter
"my car does slow, but it takes a long time to stop.",brakes
Car won’t stop quickly,brakes
My air conditioning is whistling whenever it's turned on low.,other
My air conditioning is whistling whenever it's turned on low.,other
68F,other
